"LocID","VarID","Time"
16,9,"2045-2050"
16,9,"2050-2055"
16,9,"2055-2060"
16,9,"2060-2065"
16,9,"2065-2070"
16,9,"2070-2075"
16,9,"2075-2080"
16,9,"2080-2085"
16,9,"2085-2090"
16,9,"2090-2095"
16,9,"2095-2100"
16,10,"2015-2020"
16,10,"2020-2025"
16,10,"2025-2030"
16,10,"2030-2035"
16,10,"2035-2040"
16,10,"2040-2045"
16,10,"2045-2050"
16,10,"2050-2055"
16,10,"2055-2060"
16,10,"2060-2065"
16,10,"2065-2070"
16,10,"2070-2075"
16,10,"2075-2080"
16,10,"2080-2085"
16,10,"2085-2090"
16,10,"2090-2095"
16,10,"2095-2100"
20,3,"2015-2020"
20,3,"2020-2025"
20,3,"2025-2030"
20,3,"2030-2035"
20,3,"2035-2040"
20,3,"2040-2045"
20,3,"2045-2050"
20,3,"2050-2055"
20,3,"2055-2060"
20,3,"2060-2065"
20,3,"2065-2070"
20,3,"2070-2075"
20,3,"2075-2080"
20,3,"2080-2085"
20,3,"2085-2090"
20,3,"2090-2095"
20,3,"2095-2100"
20,4,"2015-2020"
20,4,"2020-2025"
20,4,"2025-2030"
20,4,"2030-2035"
20,4,"2035-2040"
20,4,"2040-2045"
20,4,"2045-2050"
20,4,"2050-2055"
20,4,"2055-2060"
20,4,"2060-2065"
20,4,"2065-2070"
20,4,"2070-2075"
20,4,"2075-2080"
20,4,"2080-2085"
20,4,"2085-2090"
20,4,"2090-2095"
20,4,"2095-2100"
20,5,"2015-2020"
20,5,"2020-2025"
20,5,"2025-2030"
20,5,"2030-2035"
20,5,"2035-2040"
20,5,"2040-2045"
20,5,"2045-2050"
20,5,"2050-2055"
20,5,"2055-2060"
20,5,"2060-2065"
20,5,"2065-2070"
20,5,"2070-2075"
20,5,"2075-2080"
20,5,"2080-2085"
20,5,"2085-2090"
20,5,"2090-2095"
20,5,"2095-2100"
20,6,"2015-2020"
20,6,"2020-2025"
20,6,"2025-2030"
20,6,"2030-2035"
20,6,"2035-2040"
20,6,"2040-2045"
20,6,"2045-2050"
20,6,"2050-2055"
20,6,"2055-2060"
20,6,"2060-2065"
20,6,"2065-2070"
20,6,"2070-2075"
20,6,"2075-2080"
20,6,"2080-2085"
20,6,"2085-2090"
20,6,"2090-2095"
20,6,"2095-2100"
20,7,"2015-2020"
20,7,"2020-2025"
20,7,"2025-2030"
20,7,"2030-2035"
20,7,"2035-2040"
20,7,"2040-2045"
20,7,"2045-2050"
20,7,"2050-2055"
20,7,"2055-2060"
20,7,"2060-2065"
20,7,"2065-2070"
20,7,"2070-2075"
20,7,"2075-2080"
20,7,"2080-2085"
20,7,"2085-2090"
20,7,"2090-2095"
20,7,"2095-2100"
20,8,"2015-2020"
20,8,"2020-2025"
20,8,"2025-2030"
20,8,"2030-2035"
20,8,"2035-2040"
20,8,"2040-2045"
20,8,"2045-2050"
20,8,"2050-2055"
20,8,"2055-2060"
20,8,"2060-2065"
20,8,"2065-2070"
20,8,"2070-2075"
20,8,"2075-2080"
20,8,"2080-2085"
20,8,"2085-2090"
20,8,"2090-2095"
20,8,"2095-2100"
20,9,"2015-2020"
20,9,"2020-2025"
20,9,"2025-2030"
20,9,"2030-2035"
20,9,"2035-2040"
20,9,"2040-2045"
20,9,"2045-2050"
