"LocID","Time"
328,"2015-2020"
328,"2020-2025"
328,"2025-2030"
328,"2030-2035"
328,"2035-2040"
328,"2040-2045"
328,"2045-2050"
332,"2005-2010"
332,"2010-2015"
332,"2015-2020"
332,"2020-2025"
332,"2025-2030"
332,"2030-2035"
332,"2035-2040"
332,"2040-2045"
332,"2045-2050"
336,"2005-2010"
336,"2010-2015"
336,"2015-2020"
336,"2020-2025"
336,"2025-2030"
336,"2030-2035"
336,"2035-2040"
336,"2040-2045"
336,"2045-2050"
340,"2005-2010"
340,"2010-2015"
340,"2015-2020"
340,"2020-2025"
340,"2025-2030"
340,"2030-2035"
340,"2035-2040"
340,"2040-2045"
340,"2045-2050"
348,"2005-2010"
348,"2010-2015"
348,"2015-2020"
348,"2020-2025"
348,"2025-2030"
348,"2030-2035"
348,"2035-2040"
348,"2040-2045"
348,"2045-2050"
352,"2005-2010"
352,"2010-2015"
352,"2015-2020"
352,"2020-2025"
352,"2025-2030"
352,"2030-2035"
352,"2035-2040"
352,"2040-2045"
352,"2045-2050"
356,"2005-2010"
356,"2010-2015"
356,"2015-2020"
356,"2020-2025"
356,"2025-2030"
356,"2030-2035"
356,"2035-2040"
356,"2040-2045"
356,"2045-2050"
360,"2005-2010"
360,"2010-2015"
360,"2015-2020"
360,"2020-2025"
360,"2025-2030"
360,"2030-2035"
360,"2035-2040"
360,"2040-2045"
360,"2045-2050"
364,"2005-2010"
364,"2010-2015"
364,"2015-2020"
364,"2020-2025"
364,"2025-2030"
364,"2030-2035"
364,"2035-2040"
364,"2040-2045"
364,"2045-2050"
368,"2005-2010"
368,"2010-2015"
368,"2015-2020"
368,"2020-2025"
368,"2025-2030"
368,"2030-2035"
368,"2035-2040"
368,"2040-2045"
368,"2045-2050"
372,"2005-2010"
372,"2010-2015"
372,"2015-2020"
372,"2020-2025"
372,"2025-2030"
372,"2030-2035"
372,"2035-2040"
372,"2040-2045"
372,"2045-2050"
833,"2005-2010"
833,"2010-2015"
833,"2015-2020"
833,"2020-2025"
833,"2025-2030"
833,"2030-2035"
833,"2035-2040"
833,"2040-2045"
833,"2045-2050"
376,"2005-2010"
376,"2010-2015"
376,"2015-2020"
376,"2020-2025"
376,"2025-2030"
376,"2030-2035"
376,"2035-2040"
376,"2040-2045"
376,"2045-2050"
380,"2005-2010"
380,"2010-2015"
380,"2015-2020"
380,"2020-2025"
380,"2025-2030"
380,"2030-2035"
380,"2035-2040"
380,"2040-2045"
380,"2045-2050"
388,"2005-2010"
388,"2010-2015"
388,"2015-2020"
388,"2020-2025"
388,"2025-2030"
388,"2030-2035"
388,"2035-2040"
388,"2040-2045"
388,"2045-2050"
392,"2005-2010"
392,"2010-2015"
392,"2015-2020"
392,"2020-2025"
392,"2025-2030"
392,"2030-2035"
392,"2035-2040"
392,"2040-2045"
392,"2045-2050"
400,"2005-2010"
400,"2010-2015"
400,"2015-2020"
400,"2020-2025"
400,"2025-2030"
400,"2030-2035"
400,"2035-2040"
400,"2040-2045"
400,"2045-2050"
398,"2005-2010"
398,"2010-2015"
398,"2015-2020"
398,"2020-2025"
398,"2025-2030"
398,"2030-2035"
398,"2035-2040"
398,"2040-2045"
398,"2045-2050"
404,"2005-2010"
404,"2010-2015"
404,"2015-2020"
404,"2020-2025"
404,"2025-2030"
404,"2030-2035"
404,"2035-2040"
404,"2040-2045"
404,"2045-2050"
296,"2005-2010"
296,"2010-2015"
296,"2015-2020"
296,"2020-2025"
296,"2025-2030"
296,"2030-2035"
296,"2035-2040"
296,"2040-2045"
296,"2045-2050"
414,"2005-2010"
414,"2010-2015"
414,"2015-2020"
414,"2020-2025"
414,"2025-2030"
414,"2030-2035"
414,"2035-2040"
414,"2040-2045"
414,"2045-2050"
417,"2005-2010"
417,"2010-2015"
417,"2015-2020"
417,"2020-2025"
417,"2025-2030"
417,"2030-2035"
417,"2035-2040"
417,"2040-2045"
417,"2045-2050"
418,"2005-2010"
418,"2010-2015"
418,"2015-2020"
418,"2020-2025"
418,"2025-2030"
418,"2030-2035"
418,"2035-2040"
418,"2040-2045"
418,"2045-2050"
904,"2005-2010"
904,"2010-2015"
904,"2015-2020"
904,"2020-2025"
904,"2025-2030"
904,"2030-2035"
904,"2035-2040"
904,"2040-2045"
904,"2045-2050"
428,"2005-2010"
428,"2010-2015"
428,"2015-2020"
428,"2020-2025"
428,"2025-2030"
428,"2030-2035"
428,"2035-2040"
428,"2040-2045"
428,"2045-2050"
941,"2005-2010"
941,"2010-2015"
941,"2015-2020"
941,"2020-2025"
941,"2025-2030"
941,"2030-2035"
941,"2035-2040"
941,"2040-2045"
941,"2045-2050"
422,"2005-2010"
422,"2010-2015"
422,"2015-2020"
422,"2020-2025"
422,"2025-2030"
422,"2030-2035"
422,"2035-2040"
422,"2040-2045"
422,"2045-2050"
426,"2005-2010"
426,"2010-2015"
426,"2015-2020"
426,"2020-2025"
426,"2025-2030"
426,"2030-2035"
426,"2035-2040"
426,"2040-2045"
426,"2045-2050"
902,"2005-2010"
902,"2010-2015"
902,"2015-2020"
902,"2020-2025"
902,"2025-2030"
902,"2030-2035"
902,"2035-2040"
902,"2040-2045"
902,"2045-2050"
948,"2005-2010"
948,"2010-2015"
948,"2015-2020"
948,"2020-2025"
948,"2025-2030"
948,"2030-2035"
948,"2035-2040"
948,"2040-2045"
948,"2045-2050"
934,"2005-2010"
934,"2010-2015"
934,"2015-2020"
934,"2020-2025"
934,"2025-2030"
934,"2030-2035"
934,"2035-2040"
934,"2040-2045"
934,"2045-2050"
430,"2005-2010"
430,"2010-2015"
430,"2015-2020"
430,"2020-2025"
430,"2025-2030"
430,"2030-2035"
430,"2035-2040"
430,"2040-2045"
430,"2045-2050"
434,"2005-2010"
434,"2010-2015"
434,"2015-2020"
434,"2020-2025"
434,"2025-2030"
434,"2030-2035"
434,"2035-2040"
434,"2040-2045"
434,"2045-2050"
438,"2005-2010"
438,"2010-2015"
438,"2015-2020"
438,"2020-2025"
438,"2025-2030"
438,"2030-2035"
438,"2035-2040"
438,"2040-2045"
438,"2045-2050"
440,"2005-2010"
440,"2010-2015"
440,"2015-2020"
440,"2020-2025"
440,"2025-2030"
440,"2030-2035"
440,"2035-2040"
440,"2040-2045"
440,"2045-2050"
442,"2005-2010"
442,"2010-2015"
442,"2015-2020"
442,"2020-2025"
442,"2025-2030"
442,"2030-2035"
442,"2035-2040"
442,"2040-2045"
442,"2045-2050"
450,"2005-2010"
450,"2010-2015"
450,"2015-2020"
450,"2020-2025"
450,"2025-2030"
450,"2030-2035"
450,"2035-2040"
450,"2040-2045"
450,"2045-2050"
454,"2005-2010"
454,"2010-2015"
454,"2015-2020"
454,"2020-2025"
454,"2025-2030"
454,"2030-2035"
454,"2035-2040"
454,"2040-2045"
454,"2045-2050"
458,"2005-2010"
458,"2010-2015"
458,"2015-2020"
458,"2020-2025"
458,"2025-2030"
458,"2030-2035"
458,"2035-2040"
458,"2040-2045"
458,"2045-2050"
462,"2005-2010"
462,"2010-2015"
462,"2015-2020"
462,"2020-2025"
462,"2025-2030"
462,"2030-2035"
462,"2035-2040"
462,"2040-2045"
462,"2045-2050"
466,"2005-2010"
466,"2010-2015"
466,"2015-2020"
466,"2020-2025"
466,"2025-2030"
466,"2030-2035"
466,"2035-2040"
466,"2040-2045"
466,"2045-2050"
470,"2005-2010"
470,"2010-2015"
470,"2015-2020"
470,"2020-2025"
470,"2025-2030"
470,"2030-2035"
470,"2035-2040"
470,"2040-2045"
470,"2045-2050"
584,"2005-2010"
584,"2010-2015"
584,"2015-2020"
584,"2020-2025"
584,"2025-2030"
584,"2030-2035"
584,"2035-2040"
584,"2040-2045"
584,"2045-2050"
474,"2005-2010"
474,"2010-2015"
474,"2015-2020"
474,"2020-2025"
474,"2025-2030"
474,"2030-2035"
474,"2035-2040"
474,"2040-2045"
474,"2045-2050"
478,"2005-2010"
478,"2010-2015"
478,"2015-2020"
478,"2020-2025"
478,"2025-2030"
478,"2030-2035"
478,"2035-2040"
478,"2040-2045"
478,"2045-2050"
480,"2005-2010"
480,"2010-2015"
480,"2015-2020"
480,"2020-2025"
480,"2025-2030"
480,"2030-2035"
480,"2035-2040"
480,"2040-2045"
480,"2045-2050"
175,"2005-2010"
175,"2010-2015"
175,"2015-2020"
175,"2020-2025"
175,"2025-2030"
175,"2030-2035"
175,"2035-2040"
175,"2040-2045"
175,"2045-2050"
928,"2005-2010"
928,"2010-2015"
928,"2015-2020"
928,"2020-2025"
928,"2025-2030"
928,"2030-2035"
928,"2035-2040"
928,"2040-2045"
928,"2045-2050"
484,"2005-2010"
484,"2010-2015"
484,"2015-2020"
484,"2020-2025"
484,"2025-2030"
484,"2030-2035"
484,"2035-2040"
484,"2040-2045"
484,"2045-2050"
954,"2005-2010"
954,"2010-2015"
954,"2015-2020"
954,"2020-2025"
954,"2025-2030"
954,"2030-2035"
954,"2035-2040"
954,"2040-2045"
954,"2045-2050"
583,"2005-2010"
583,"2010-2015"
583,"2015-2020"
583,"2020-2025"
583,"2025-2030"
583,"2030-2035"
583,"2035-2040"
583,"2040-2045"
583,"2045-2050"
911,"2005-2010"
911,"2010-2015"
911,"2015-2020"
911,"2020-2025"
911,"2025-2030"
911,"2030-2035"
911,"2035-2040"
911,"2040-2045"
911,"2045-2050"
492,"2005-2010"
492,"2010-2015"
492,"2015-2020"
492,"2020-2025"
492,"2025-2030"
492,"2030-2035"
492,"2035-2040"
492,"2040-2045"
492,"2045-2050"
496,"2005-2010"
496,"2010-2015"
496,"2015-2020"
496,"2020-2025"
496,"2025-2030"
496,"2030-2035"
496,"2035-2040"
496,"2040-2045"
496,"2045-2050"
499,"2005-2010"
499,"2010-2015"
499,"2015-2020"
499,"2020-2025"
499,"2025-2030"
499,"2030-2035"
499,"2035-2040"
499,"2040-2045"
499,"2045-2050"
500,"2005-2010"
500,"2010-2015"
500,"2015-2020"
500,"2020-2025"
500,"2025-2030"
500,"2030-2035"
500,"2035-2040"
500,"2040-2045"
500,"2045-2050"
901,"2005-2010"
901,"2010-2015"
901,"2015-2020"
901,"2020-2025"
901,"2025-2030"
901,"2030-2035"
901,"2035-2040"
901,"2040-2045"
901,"2045-2050"
504,"2005-2010"
