"LocID","Time","AgeGrp","SexID"
4,"1985-1990","100+",2
4,"1985-1990","100+",3
4,"1990-1995","0",1
4,"1990-1995","0",2
4,"1990-1995","0",3
4,"1990-1995","1-4",1
4,"1990-1995","1-4",2
4,"1990-1995","1-4",3
4,"1990-1995","5-9",1
4,"1990-1995","5-9",2
4,"1990-1995","5-9",3
4,"1990-1995","10-14",1
4,"1990-1995","10-14",2
4,"1990-1995","10-14",3
4,"1990-1995","15-19",1
4,"1990-1995","15-19",2
4,"1990-1995","15-19",3
4,"1990-1995","20-24",1
4,"1990-1995","20-24",2
4,"1990-1995","20-24",3
4,"1990-1995","25-29",1
4,"1990-1995","25-29",2
4,"1990-1995","25-29",3
4,"1990-1995","30-34",1
4,"1990-1995","30-34",2
4,"1990-1995","30-34",3
4,"1990-1995","35-39",1
4,"1990-1995","35-39",2
4,"1990-1995","35-39",3
4,"1990-1995","40-44",1
4,"1990-1995","40-44",2
4,"1990-1995","40-44",3
4,"1990-1995","45-49",1
4,"1990-1995","45-49",2
4,"1990-1995","45-49",3
4,"1990-1995","50-54",1
4,"1990-1995","50-54",2
4,"1990-1995","50-54",3
4,"1990-1995","55-59",1
4,"1990-1995","55-59",2
4,"1990-1995","55-59",3
4,"1990-1995","60-64",1
4,"1990-1995","60-64",2
4,"1990-1995","60-64",3
4,"1990-1995","65-69",1
4,"1990-1995","65-69",2
4,"1990-1995","65-69",3
4,"1990-1995","70-74",1
4,"1990-1995","70-74",2
4,"1990-1995","70-74",3
4,"1990-1995","75-79",1
4,"1990-1995","75-79",2
4,"1990-1995","75-79",3
4,"1990-1995","80-84",1
4,"1990-1995","80-84",2
4,"1990-1995","80-84",3
4,"1990-1995","85-89",1
4,"1990-1995","85-89",2
4,"1990-1995","85-89",3
4,"1990-1995","90-94",1
4,"1990-1995","90-94",2
4,"1990-1995","90-94",3
4,"1990-1995","95-99",1
4,"1990-1995","95-99",2
4,"1990-1995","95-99",3
4,"1990-1995","100+",1
4,"1990-1995","100+",2
4,"1990-1995","100+",3
4,"1995-2000","0",1
4,"1995-2000","0",2
4,"1995-2000","0",3
4,"1995-2000","1-4",1
4,"1995-2000","1-4",2
4,"1995-2000","1-4",3
4,"1995-2000","5-9",1
4,"1995-2000","5-9",2
4,"1995-2000","5-9",3
4,"1995-2000","10-14",1
4,"1995-2000","10-14",2
4,"1995-2000","10-14",3
4,"1995-2000","15-19",1
4,"1995-2000","15-19",2
4,"1995-2000","15-19",3
4,"1995-2000","20-24",1
4,"1995-2000","20-24",2
4,"1995-2000","20-24",3
4,"1995-2000","25-29",1
4,"1995-2000","25-29",2
4,"1995-2000","25-29",3
4,"1995-2000","30-34",1
4,"1995-2000","30-34",2
4,"1995-2000","30-34",3
4,"1995-2000","35-39",1
4,"1995-2000","35-39",2
4,"1995-2000","35-39",3
4,"1995-2000","40-44",1
4,"1995-2000","40-44",2
4,"1995-2000","40-44",3
4,"1995-2000","45-49",1
4,"1995-2000","45-49",2
4,"1995-2000","45-49",3
4,"1995-2000","50-54",1
4,"1995-2000","50-54",2
4,"1995-2000","50-54",3
4,"1995-2000","55-59",1
4,"1995-2000","55-59",2
4,"1995-2000","55-59",3
4,"1995-2000","60-64",1
4,"1995-2000","60-64",2
4,"1995-2000","60-64",3
4,"1995-2000","65-69",1
4,"1995-2000","65-69",2
4,"1995-2000","65-69",3
4,"1995-2000","70-74",1
4,"1995-2000","70-74",2
4,"1995-2000","70-74",3
4,"1995-2000","75-79",1
4,"1995-2000","75-79",2
4,"1995-2000","75-79",3
4,"1995-2000","80-84",1
4,"1995-2000","80-84",2
4,"1995-2000","80-84",3
4,"1995-2000","85-89",1
4,"1995-2000","85-89",2
4,"1995-2000","85-89",3
4,"1995-2000","90-94",1
4,"1995-2000","90-94",2
4,"1995-2000","90-94",3
4,"1995-2000","95-99",1
4,"1995-2000","95-99",2
4,"1995-2000","95-99",3
4,"1995-2000","100+",1
4,"1995-2000","100+",2
4,"1995-2000","100+",3
4,"2000-2005","0",1
4,"2000-2005","0",2
4,"2000-2005","0",3
4,"2000-2005","1-4",1
4,"2000-2005","1-4",2
4,"2000-2005","1-4",3
4,"2000-2005","5-9",1
4,"2000-2005","5-9",2
4,"2000-2005","5-9",3
4,"2000-2005","10-14",1
4,"2000-2005","10-14",2
4,"2000-2005","10-14",3
4,"2000-2005","15-19",1
4,"2000-2005","15-19",2
4,"2000-2005","15-19",3
4,"2000-2005","20-24",1
4,"2000-2005","20-24",2
4,"2000-2005","20-24",3
4,"2000-2005","25-29",1
4,"2000-2005","25-29",2
4,"2000-2005","25-29",3
4,"2000-2005","30-34",1
4,"2000-2005","30-34",2
4,"2000-2005","30-34",3
4,"2000-2005","35-39",1
4,"2000-2005","35-39",2
4,"2000-2005","35-39",3
4,"2000-2005","40-44",1
4,"2000-2005","40-44",2
4,"2000-2005","40-44",3
4,"2000-2005","45-49",1
4,"2000-2005","45-49",2
4,"2000-2005","45-49",3
4,"2000-2005","50-54",1
4,"2000-2005","50-54",2
4,"2000-2005","50-54",3
4,"2000-2005","55-59",1
4,"2000-2005","55-59",2
4,"2000-2005","55-59",3
4,"2000-2005","60-64",1
4,"2000-2005","60-64",2
4,"2000-2005","60-64",3
4,"2000-2005","65-69",1
4,"2000-2005","65-69",2
4,"2000-2005","65-69",3
4,"2000-2005","70-74",1
4,"2000-2005","70-74",2
4,"2000-2005","70-74",3
4,"2000-2005","75-79",1
4,"2000-2005","75-79",2
4,"2000-2005","75-79",3
4,"2000-2005","80-84",1
4,"2000-2005","80-84",2
4,"2000-2005","80-84",3
4,"2000-2005","85-89",1
4,"2000-2005","85-89",2
4,"2000-2005","85-89",3
4,"2000-2005","90-94",1
4,"2000-2005","90-94",2
4,"2000-2005","90-94",3
4,"2000-2005","95-99",1
4,"2000-2005","95-99",2
4,"2000-2005","95-99",3
4,"2000-2005","100+",1
4,"2000-2005","100+",2
4,"2000-2005","100+",3
4,"2005-2010","0",1
4,"2005-2010","0",2
4,"2005-2010","0",3
4,"2005-2010","1-4",1
4,"2005-2010","1-4",2
4,"2005-2010","1-4",3
4,"2005-2010","5-9",1
4,"2005-2010","5-9",2
4,"2005-2010","5-9",3
4,"2005-2010","10-14",1
4,"2005-2010","10-14",2
4,"2005-2010","10-14",3
4,"2005-2010","15-19",1
4,"2005-2010","15-19",2
4,"2005-2010","15-19",3
4,"2005-2010","20-24",1
4,"2005-2010","20-24",2
4,"2005-2010","20-24",3
4,"2005-2010","25-29",1
4,"2005-2010","25-29",2
4,"2005-2010","25-29",3
4,"2005-2010","30-34",1
4,"2005-2010","30-34",2
4,"2005-2010","30-34",3
4,"2005-2010","35-39",1
4,"2005-2010","35-39",2
4,"2005-2010","35-39",3
4,"2005-2010","40-44",1
4,"2005-2010","40-44",2
4,"2005-2010","40-44",3
4,"2005-2010","45-49",1
4,"2005-2010","45-49",2
4,"2005-2010","45-49",3
4,"2005-2010","50-54",1
4,"2005-2010","50-54",2
4,"2005-2010","50-54",3
4,"2005-2010","55-59",1
4,"2005-2010","55-59",2
4,"2005-2010","55-59",3
4,"2005-2010","60-64",1
4,"2005-2010","60-64",2
4,"2005-2010","60-64",3
4,"2005-2010","65-69",1
4,"2005-2010","65-69",2
4,"2005-2010","65-69",3
4,"2005-2010","70-74",1
4,"2005-2010","70-74",2
4,"2005-2010","70-74",3
4,"2005-2010","75-79",1
4,"2005-2010","75-79",2
4,"2005-2010","75-79",3
4,"2005-2010","80-84",1
4,"2005-2010","80-84",2
4,"2005-2010","80-84",3
4,"2005-2010","85-89",1
4,"2005-2010","85-89",2
4,"2005-2010","85-89",3
4,"2005-2010","90-94",1
4,"2005-2010","90-94",2
4,"2005-2010","90-94",3
4,"2005-2010","95-99",1
4,"2005-2010","95-99",2
4,"2005-2010","95-99",3
4,"2005-2010","100+",1
4,"2005-2010","100+",2
4,"2005-2010","100+",3
4,"2010-2015","0",1
4,"2010-2015","0",2
4,"2010-2015","0",3
4,"2010-2015","1-4",1
4,"2010-2015","1-4",2
4,"2010-2015","1-4",3
4,"2010-2015","5-9",1
4,"2010-2015","5-9",2
4,"2010-2015","5-9",3
4,"2010-2015","10-14",1
4,"2010-2015","10-14",2
4,"2010-2015","10-14",3
4,"2010-2015","15-19",1
4,"2010-2015","15-19",2
4,"2010-2015","15-19",3
4,"2010-2015","20-24",1
4,"2010-2015","20-24",2
4,"2010-2015","20-24",3
4,"2010-2015","25-29",1
4,"2010-2015","25-29",2
4,"2010-2015","25-29",3
4,"2010-2015","30-34",1
4,"2010-2015","30-34",2
4,"2010-2015","30-34",3
4,"2010-2015","35-39",1
4,"2010-2015","35-39",2
4,"2010-2015","35-39",3
4,"2010-2015","40-44",1
4,"2010-2015","40-44",2
4,"2010-2015","40-44",3
4,"2010-2015","45-49",1
4,"2010-2015","45-49",2
4,"2010-2015","45-49",3
4,"2010-2015","50-54",1
4,"2010-2015","50-54",2
4,"2010-2015","50-54",3
4,"2010-2015","55-59",1
4,"2010-2015","55-59",2
4,"2010-2015","55-59",3
4,"2010-2015","60-64",1
4,"2010-2015","60-64",2
4,"2010-2015","60-64",3
4,"2010-2015","65-69",1
4,"2010-2015","65-69",2
4,"2010-2015","65-69",3
4,"2010-2015","70-74",1
4,"2010-2015","70-74",2
4,"2010-2015","70-74",3
4,"2010-2015","75-79",1
4,"2010-2015","75-79",2
4,"2010-2015","75-79",3
4,"2010-2015","80-84",1
4,"2010-2015","80-84",2
4,"2010-2015","80-84",3
